Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
1655,FWS,1996,4/28/1996 0:00,4/28/1996 0:00,22530,TRIO,Human,ARI,4,25
1656,FWS,1996,5/20/1996 0:00,5/20/1996 0:00,22530,MORNING,Human,ARI,4,4
1657,FWS,1996,06-03-1996 00:00,06-03-1996 00:00,22530,CAMP,Human,ARI,4,0.3
1658,FWS,1996,06-04-1996 00:00,,22530,TOWN,Human,ARI,4,0.1
1659,FWS,2002,3/23/2002 0:00,3/23/2002 0:00,22530,CHEESE,Human,ARI,4,1
1660,FWS,1996,6/19/1996 0:00,6/19/1996 0:00,22530,TWIN,Human,ARI,4,0.2
1661,FWS,1993,6/21/1993 0:00,6/21/1993 0:00,22530,R. HILL 3,Human,ARI,4,3
1662,FWS,1996,07-02-1996 00:00,07-02-1996 00:00,22530,CITYHALL,Natural,ARI,4,0.1
1663,FWS,1993,08-03-1993 00:00,08-03-1993 00:00,22530,LESLIE,Natural,ARI,4,200
1664,FWS,2000,03-05-2000 00:00,03-05-2000 00:00,22530,MILEPOST10,Human,ARI,4,3
1665,FWS,1996,7/25/1996 0:00,7/25/1996 0:00,22530,WILBUR,Natural,ARI,4,3
1666,FWS,2000,3/25/2000 0:00,3/25/2000 0:00,22530,DIP,Human,ARI,4,0.1
1667,FWS,1996,8/14/1996 0:00,8/17/1996 0:00,22530,PUNTA,Natural,ARI,4,98
1668,FWS,2000,04-09-2000 00:00,04-10-2000 00:00,22530,GUS,Human,ARI,4,5700
1669,FWS,2002,4/16/2002 0:00,4/16/2002 0:00,22530,SHOOTOUT,Human,ARI,4,1
1670,FWS,2002,4/24/2002 0:00,4/24/2002 0:00,22530,SAN LUIS W,Human,ARI,4,5
1671,FWS,2000,05-07-2000 00:00,05-07-2000 00:00,22530,LOOKOUT,Human,ARI,4,1
1672,FWS,2000,05-10-2000 00:00,05-10-2000 00:00,22530,CITY HALL,Human,ARI,4,75
1673,FWS,2000,5/14/2000 0:00,5/18/2000 0:00,22530,LANE,Human,ARI,4,2750
1674,FWS,2002,05-11-2002 00:00,05-11-2002 00:00,22530,VISITOR,Human,ARI,4,1
1675,FWS,2002,5/14/2002 0:00,5/15/2002 0:00,22530,CITY HALL,Human,ARI,4,5312
