Calamities,,,,,,,,,,
ID,COMPANY,UNIT,NAME,CAUSE,YEAR_,START_DATE,END_DATE,STATE,STATE_FIPS,AREA_AFFECTED(in ACRES)
11844,FWS,61550,NORTH PARK,Human,1992,05-03-1992 00:00,05-03-1992 00:00,WYO,56,0.1
11845,FWS,61550,CLAY PIT,Human,1980,11-01-1980 00:00,11-01-1980 00:00,WYO,56,1
11846,FWS,61550,GROSVENTRE,Natural,1988,6/16/1988 0:00,6/16/1988 0:00,WYO,56,2
11847,FWS,61550,POWER POLE,Human,1988,6/20/1988 0:00,6/20/1988 0:00,WYO,56,0.1
11848,FWS,61550,HIGHLINE,Natural,1995,07-10-1995 00:00,07-10-1995 00:00,WYO,56,0.1
11849,FWS,61550,SHOP,Natural,1992,8/20/1992 0:00,8/20/1992 0:00,WYO,56,0.1
11850,FWS,61550,BEN GOE,Natural,1988,07-02-1988 00:00,07-02-1988 00:00,WYO,56,0.8
11851,FWS,61550,HATCHERY,Human,1988,07-05-1988 00:00,07-05-1988 00:00,WYO,56,0.4
11852,FWS,61550,HIGHLANDS,Natural,1992,09-03-1992 00:00,09-03-1992 00:00,WYO,56,0.3
11853,FWS,61550,SNAKE RIVR,Natural,1992,09-03-1992 00:00,09-03-1992 00:00,WYO,56,0.2
11854,FWS,61550,CALKINS,Human,1988,07-08-1988 00:00,,WYO,56,0.1
11855,FWS,61550,IKE SIGN,Natural,1986,08-11-1986 00:00,08-11-1986 00:00,WYO,56,0.1
11856,FWS,61550,BARN FIRE,Natural,1986,8/25/1986 0:00,8/25/1986 0:00,WYO,56,0.1
11857,FWS,61550,HATCHERY,Human,1987,9/23/1987 0:00,9/23/1987 0:00,WYO,56,0.1
11858,FWS,61550,HIGHWAY,Human,1985,10-05-1985 00:00,10-05-1985 00:00,WYO,56,0.3
11859,FWS,61550,CLAYPIT,Natural,1998,8/21/1998 0:00,8/21/1998 0:00,WYO,56,1.5
11860,FWS,65580,HAMP,Human,1986,3/15/1986 0:00,3/15/1986 0:00,WYO,56,15
11861,FWS,65580,TALLMAN,Natural,1995,09-03-1995 00:00,09-04-1995 00:00,WYO,56,12
11862,FWS,65580,DODGE BOLT,Natural,1991,5/25/1991 0:00,5/25/1991 0:00,WYO,56,0.1
11863,FWS,65580,DRYCREEK98,Natural,1998,08-01-1998 00:00,,WYO,56,0.1
