Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
09-05-2007,3/20/2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,U,U3,RR
09-07-2007,2/18/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J3,RR
09-08-2007,09-08-2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-GUN,NORTH,J,J2,BN
09-08-2007,09-11-2007,AGGRAVATED ASSAULT,ASSLT-AGG-BODYFORCE,EAST,E,E1,CH
09-09-2007,09-09-2007,DUI,DUI-LIQUOR,WEST,Q,Q2,QA
09-10-2007,09-10-2011,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,BELLTOWN
9/13/2007,9/13/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-GUN,NORTH,B,B1,BS
9/15/2007,9/15/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-GUN,NORTH,B,B2,PHINNEY RIDGE
9/15/2007,9/15/2007,NARCOTIC,NARC-POSSESS-COCAINE,NORTH,J,J1,GREENWOOD
9/15/2007,04-03-2008,ROBBERY-STREET,ROBBERY-STREET-WEAPON,WEST,K,K3,CI
9/16/2007,9/22/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,CH
9/16/2007,02-01-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
9/16/2007,2/14/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
9/21/2007,9/21/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,E,E3,FH
9/21/2007,03-03-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,C,C1,CH
9/23/2007,5/20/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,UNI
9/24/2007,2/20/2008,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,BELLTOWN
9/25/2007,3/21/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S2,BD
9/25/2007,1/23/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O2,SODO
9/27/2007,9/23/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,CD
9/28/2007,01-06-2015,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTHWEST,F,F1,HP
9/29/2007,1/21/2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CH
9/30/2007,10/26/2009,PROSTITUTION,PROSTITUTION-ASSIST-PROMOTE,WEST,K,K1,DC
9/30/2007,01-03-2011,RAPE,PHYSICAL_VIOLENCE-SODOMY,EAST,E,E1,CH
9/30/2007,1/15/2009,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,NG
9/30/2007,02-11-2008,THEFT-ALL OTHER,THEFT-BOAT,WEST,Q,Q2,QA
10-01-2007,5/14/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S3,RV
10-01-2007,03-04-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C2,MPB
10-01-2007,6/25/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,S,S3,RV
10-01-2007,01-03-2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L2,NG
10-01-2007,1/14/2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B2,FR
10-01-2007,05-02-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,NA
10-01-2007,12-01-2008,CAR PROWL,THEFT-LICENSE PLATE,SOUTH,R,R3,HC
10-01-2007,11-07-2014,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,SOUTHWEST,W,W1,ALKI
10-02-2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
10-03-2007,10-04-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
10-04-2007,10-09-2007,RAPE,RAPE-STRONGARM,SOUTHWEST,W,W1,ND
10-07-2007,10-08-2007,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U3,SANDPOINT
10-07-2007,4/24/2008,TRESPASS,TRESPASS,WEST,K,K1,DC
10-07-2007,10-07-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTHWEST,F,F3,SP
10-07-2007,3/24/2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,U,U3,SANDPOINT
10-07-2007,03-12-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R2,MB
10-09-2007,10-11-2009,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,RR
10-11-2007,10-11-2007,AGGRAVATED ASSAULT,ASSLT-AGG-POLICE-BODYFORCE,EAST,C,C3,ML
10-12-2007,4/14/2008,CAR PROWL,THEFT-CARPROWL,SOUTH,O,O3,GEORGETOWN
10/13/2007,1/24/2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QA
10/14/2007,10/14/2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,NORTH,J,J2,PHINNEY RIDGE
10/14/2007,10/14/2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,SOUTHWEST,F,F1,ND
10/15/2007,01-03-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTH,O,O3,GEORGETOWN
10/16/2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,BITTERLAKE
10/18/2007,7/31/2008,AGGRAVATED ASSAULT,ASSLT-AGG-BODYFORCE,EAST,C,C3,CA/SP
10/18/2007,11/25/2009,WEAPON,WEAPON-POSSESSION,UNKNOWN,,,UNKNOWN
10/19/2007,01-07-2015,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,SOUTH,S,S3,RV
10/20/2007,2/14/2008,RAPE,RAPE-STRONGARM,EAST,E,E3,FH
10/20/2007,5/20/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G1,FH
10/21/2007,4/30/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S1,SBH
10/21/2007,1/22/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
10/23/2007,1/16/2008,CAR PROWL,THEFT-LICENSE PLATE,SOUTHWEST,F,F1,PIGEON POINT
10/23/2007,10/28/2007,RAPE,RAPE-STRONGARM,SOUTH,S,S2,BD
10/23/2007,03-12-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R2,NBH
10/23/2007,4/22/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DC
10/26/2007,10/26/2007,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,NG
10/27/2007,10/27/2007,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O1,SODO
10/28/2007,2/29/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
10/29/2007,10/29/2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,Q,Q1,MAGNOLIA
10/29/2007,10/29/2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,Q,Q1,MAGNOLIA
10/30/2007,10/30/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT EXPOSURE,SOUTH,S,S2,BD
10/30/2007,04-09-2009,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q3,QA
10/30/2007,10/30/2007,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,NORTH,N,N3,NG
10/31/2007,3/25/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,MB
10/31/2007,04-02-2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,B,B2,BS
10/31/2007,10/31/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,EAST,E,E2,FH
11-01-2007,2/14/2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,PHINNEY RIDGE
11-01-2007,02-02-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W3,HP
11-01-2007,4/28/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,RR
11-01-2007,4/24/2012,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,NORTH,L,L3,LAKECITY
11-01-2007,8/28/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,WEST,M,M2,DC
11-01-2007,04-11-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,NBH
11-01-2007,02-08-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N1,BITTERLAKE
11-01-2007,11-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L2,NG
11-01-2007,11/13/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R3,HC
11-01-2007,02-11-2008,CAR PROWL,THEFT-CARPROWL,SOUTHWEST,F,F2,RWA
11-01-2007,02-10-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C1,MPB
11-01-2007,01-10-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-LEWD CONDUCT,NORTH,U,U3,UNI
11-01-2007,01-03-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,SC
11-01-2007,1/25/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,G,G3,ML
11-01-2007,11-08-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D3,SC
11-01-2007,01-08-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,SC
11-01-2007,1/16/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
11-01-2007,3/19/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J3,RR
11-01-2007,11-07-2007,CAR PROWL,THEFT-LICENSE PLATE,NORTH,L,L2,NG
11-01-2007,06-07-2008,CAR PROWL,THEFT-LICENSE PLATE,SOUTH,O,O2,SODO
11-02-2007,2/26/2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,N,N2,NG
11-02-2007,02-09-2008,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FH
11-02-2007,11-02-2007,PORNOGRAPHY,PORNOGRAPHY-OBSCENE MATERIAL,WEST,K,K1,DC
11-02-2007,11-02-2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,K,K1,DC
11-03-2007,11-03-2007,NARCOTIC,NARC-POSSESS-OTHER,NORTH,U,U2,UNI
11-03-2007,1/25/2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,WEST,K,K3,CI
11-03-2007,02-06-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,CR
11-04-2007,3/31/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,WEST,Q,Q3,QA
11-05-2007,11-05-2007,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,F,F2,RWA
11-05-2007,11-05-2007,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,WEST,K,K3,CI
11-06-2007,4/15/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,D,D3,SC
11-07-2007,11-08-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,C,C3,ML
11-07-2007,11-07-2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,SOUTHWEST,W,W3,MORGAN
11-07-2007,1/24/2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,L,L2,NG
11-08-2007,11-10-2007,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,L,L3,LAKECITY
11-09-2007,11-09-2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,SOUTHWEST,W,W3,RWA
11-09-2007,11-09-2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,EAST,G,G2,CA/SP
11-09-2007,2/28/2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QA
11-10-2007,11/13/2008,NARCOTIC,NARC-EQUIPMENT/PARAPHENALIA,NORTH,B,B3,WALLINGFORD
11-11-2007,1/30/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DC
11-11-2007,6/23/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,D,D3,EW
11-12-2007,11-12-2007,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,NORTH,L,L1,LAKECITY
11/13/2007,11/14/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN
11/13/2007,1/23/2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L3,LAKECITY
11/13/2007,11/13/2007,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,EAST,C,C2,CA/SP
11/14/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S1,MBH
11/15/2007,11/16/2007,RAPE,RAPE-STRONGARM,SOUTH,R,R1,MBH
11/15/2007,2/29/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NG
11/15/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FH
11/17/2007,12/15/2007,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N1,BITTERLAKE
11/17/2007,5/14/2008,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,SOUTH,S,S2,RB
11/18/2007,11/18/2007,WEAPON,WEAPON-POSSESSION,SOUTH,S,S3,RV
11/19/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,AJ
11/20/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,ALKI
11/20/2007,02-08-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,CA/SP
11/20/2007,03-03-2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NG
11/20/2007,01-04-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,PIGEON POINT
11/22/2007,12/17/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N1,BITTERLAKE
11/23/2007,01-12-2009,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L3,LAKECITY
11/23/2007,11/23/2007,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,MBH
11/24/2007,2/22/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,AJ
11/26/2007,11/27/2007,RAPE,RAPE-STRONGARM,EAST,G,G2,CA/SP
11/28/2007,01-11-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J3,RR
11/28/2007,01-09-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O2,GEORGETOWN
11/28/2007,1/24/2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,MB
11/29/2007,2/13/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,SC
11/29/2007,11/29/2007,PROSTITUTION,PROSTITUTION,WEST,K,K1,DC
11/29/2007,4/15/2008,PROSTITUTION,PROSTITUTION-ASSIST-PROMOTE,WEST,K,K1,DC
11/30/2007,03-03-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,MB
12-01-2007,01-09-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J2,BN
12-01-2007,1/22/2008,RAPE,RAPE-OTHER,SOUTH,S,S2,BD
12-01-2007,06-04-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,R,R1,NBH
12-01-2007,4/29/2008,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G1,FH
12-01-2007,6/18/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,MORGAN
12-01-2007,1/30/2012,CAR PROWL,THEFT-CARPROWL,EAST,C,C3,CA/SP
12-01-2007,02-09-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R1,NBH
12-01-2007,02-08-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,RR
12-01-2007,1/28/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,NG
12-01-2007,2/20/2017,RAPE,RAPE-STRONGARM,EAST,E,E3,FH
12-01-2007,03-05-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CI
12-01-2007,05-03-2015,RAPE,RAPE-STRONGARM,EAST,G,G1,FH
12-01-2007,1/17/2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F3,SP
12-01-2007,2/18/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E2,CH
12-01-2007,3/22/2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,UNKNOWN,,,UNKNOWN
12-02-2007,1/17/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S2,BD
12-03-2007,01-08-2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,PHINNEY RIDGE
12-03-2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QA
12-03-2007,03-07-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E1,CH
12-03-2007,11-04-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,R,R2,NBH
12-04-2007,02-05-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
12-04-2007,01-09-2008,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G3,ML
12-04-2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
12-06-2007,1/25/2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N2,BITTERLAKE
12-06-2007,3/28/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,J,J3,RR
12-07-2007,2/15/2008,CAR PROWL,THEFT-CARPROWL,EAST,G,G3,ML
12-07-2007,01-08-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M1,DC
12-07-2007,01-03-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K3,DC
12-07-2007,01-07-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K1,DC
12-08-2007,12-08-2007,RAPE,PHYSICAL_VIOLENCE-SODOMY,EAST,G,G2,CA/SP
12-08-2007,01-08-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,RR
12-09-2007,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K3,CI
12-10-2007,1/25/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L2,NG
12-10-2007,1/31/2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,D,D3,EW
12-10-2007,12-10-2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,WEST,D,D2,SC
12-10-2007,01-07-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,U,U3,SANDPOINT
12-10-2007,04-01-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,CH
12-10-2007,1/22/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,ALKI
12-10-2007,1/31/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D1,SC
12-11-2007,01-12-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,SANDPOINT
12-11-2007,1/20/2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
12-12-2007,12-12-2007,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,NORTH,U,U2,UNI
12-12-2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
12-12-2007,8/26/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,RR
12-12-2007,01-09-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C3,MADISON PARK
12-12-2007,01-03-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,D,D1,BELLTOWN
12-12-2007,12-12-2007,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,NORTH,L,L1,LAKECITY
12-12-2007,12/16/2007,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,CH
12/13/2007,12/13/2007,THEFT-BICYCLE,THEFT-BICYCLE,WEST,M,M2,DC
12/13/2007,10/14/2008,THEFT-BICYCLE,THEFT-BICYCLE,EAST,E,E3,FH
12/13/2007,01-03-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K1,DC
12/13/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,EAST,E,E2,FH
12/13/2007,01-07-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,L,L1,LAKECITY
12/13/2007,01-03-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,R,R3,GENESEE
12/14/2007,1/20/2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,GREENWOOD
12/14/2007,1/15/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C2,MPB
12/14/2007,2/19/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,NG
12/14/2007,01-09-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,ALKI
12/14/2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C2,MILLER PARK
12/14/2007,12/19/2007,PORNOGRAPHY,PORNOGRAPHY-OBSCENE MATERIAL,WEST,K,K1,DC
12/14/2007,12/14/2007,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FH
12/14/2007,1/18/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,QA
12/15/2007,12/15/2007,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DC
12/15/2007,01-03-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FR
12/15/2007,4/15/2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,S,S3,RV
12/15/2007,02-06-2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,B,B3,WALLINGFORD
12/15/2007,1/15/2008,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FH
12/15/2007,12/15/2007,RAPE,RAPE-STRONGARM,WEST,Q,Q3,SC
12/15/2007,12/15/2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,UNKNOWN,,,UNKNOWN
12/15/2007,1/22/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U3,SANDPOINT
12/15/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
12/15/2007,1/18/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N1,BN
12/15/2007,02-06-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
12/15/2007,3/26/2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BITTERLAKE
12/15/2007,01-05-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U1,UNI
12/16/2007,01-07-2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E2,CH
12/16/2007,12/16/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,NORTH,U,U1,RR
12/16/2007,12/17/2007,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L2,NG
12/16/2007,12/19/2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,C,C2,CA/SP
12/16/2007,12/16/2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,R,R2,MB
12/16/2007,01-04-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,F,F2,RWA
12/16/2007,12/17/2007,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M3,DC
12/17/2007,01-04-2008,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G2,JNBH
12/17/2007,12/17/2007,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,F,F2,RWA
12/17/2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
12/17/2007,01-07-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,N,N2,NG
12/18/2007,12/19/2007,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D1,SC
12/18/2007,12/18/2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,S,S2,BD
12/19/2007,1/29/2008,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,BELLTOWN
12/19/2007,01-03-2008,CAR PROWL,THEFT-AUTOACC,NORTH,N,N2,NG
12/19/2007,12/19/2007,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E1,CH
12/19/2007,09-03-2008,RAPE,RAPE-OTHER,EAST,E,E3,FH
12/19/2007,1/14/2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R3,CC
12/19/2007,01-10-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,CR
12/19/2007,12/19/2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,S,S1,MBH
12/19/2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N1,BITTERLAKE
12/19/2007,1/18/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L1,LAKECITY
12/19/2007,12/19/2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,SOUTHWEST,F,F2,SD
12/19/2007,12/19/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,SOUTH,S,S3,RB
12/19/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,CC
12/19/2007,01-09-2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,N,N3,NG
12/19/2007,2/15/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
12/20/2007,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,G,G2,CA/SP
12/20/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
12/20/2007,12/20/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,NORTH,B,B3,WALLINGFORD
12/20/2007,01-06-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,EW
12/20/2007,3/24/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
12/20/2007,12/20/2007,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S2,BD
12/20/2007,01-05-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R3,LW/SP
