Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
01-01-2004,12-08-2010,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,RR
01-01-2004,08-07-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-2004,11/17/2015,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G2,CA/SP
01-01-2004,10/13/2016,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G3,JNBH
01-01-2004,11/17/2006,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R3,HC
01-08-2004,06-09-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,UNKNOWN,,,UNKNOWN
02-11-2004,09-12-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,NBH
3/29/2004,3/31/2014,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,U,U1,UNI
05-06-2004,8/13/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,WEST,Q,Q2,QA
05-11-2004,05-12-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R3,HC
5/19/2004,5/19/2016,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,U,U3,SANDPOINT
5/23/2004,5/24/2004,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G2,JNBH
5/23/2004,5/28/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S1,NEW HOLLY
06-01-2004,06-07-2016,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
06-06-2004,06-06-2004,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,SOUTHWEST,W,W1,NA
7/25/2004,7/29/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S2,BD
